WORKTYPE,WO_WORKTYPE
14,"                                                                                                    "
10422,"CM10                                                                                                "
2028,"CM20                                                                                                "
138,"CM30                                                                                                "
371,"CM40                                                                                                "
2,"CMPWO                                                                                               "
226,"MO10                                                                                                "
299,"OP10                                                                                                "
2,"PM10                                                                                                "
468,"PM20                                                                                                "
976,"PM30                                                                                                "
281,"PM40                                                                                                "
49,"PM50                                                                                                "
59,"PR10                                                                                                "
